id,chain,dept,category,company,brand,date,productsize,productmeasure,purchasequantity,purchaseamount
86246,205,7,707,1078778070,12564,2012-03-02,12,OZ,1,7.59
86252,205,36,3634,1078616272,7237,2012-03-02,20,OZ,1,1.29
12262064,95,4,411,102070929,18785,2012-03-02,4.25,OZ,2,2.5
12277270,95,7,708,1076211171,17286,2012-03-05,12,OZ,1,7.99
12332190,95,33,3305,107794878,2753,2012-03-05,12,OZ,1,1.99
12524696,4,58,5833,103760030,8501,2012-03-02,24,OZ,2,10
12682470,18,64,6408,108735686,3721,2012-03-02,0.75,LT,1,8.87
12996040,15,55,5552,102113020,15704,2012-03-03,48,OZ,1,4.99
13074629,14,56,5604,102113020,10786,2012-03-03,12,OZ,1,2.99
13089312,15,96,9632,107675070,52936,2012-03-05,1,CT,1,15
13179265,14,9,917,1070396575,18365,2012-03-02,14,OZ,1,1.79
13251776,15,63,6320,102113020,10786,2012-03-02,18,CT,1,2.99
13387341,14,64,6408,108143484,22447,2012-03-02,0.75,LT,1,4.99
13501141,4,97,9734,103314939,90775,2012-03-03,1,CT,1,6.99
13540129,14,33,3308,102840020,3336,2012-03-02,2.38,OZ,1,1.09
13558712,15,99,9908,10000,33170,2012-03-10,10,OZ,2,0.2
13563017,14,99,9901,107989373,12908,2012-03-03,0.66,OZ,1,1.99
13584134,14,63,6317,102113020,10786,2012-03-05,64,OZ,2,5.18
13744500,4,36,3618,104900040,23359,2012-03-02,144,OZ,1,6.29
13807224,4,25,2506,102113020,10786,2012-03-02,32,OZ,1,2.99
13873775,4,33,3303,102840020,10241,2012-03-04,10.5,OZ,2,4.29
13974451,4,58,5824,107456272,2682,2012-03-08,10,OZ,1,0.99
14026320,14,73,7307,1032113030,15704,2012-03-04,24,CT,1,2.99
14049441,3,95,9518,107000070,7848,2012-05-06,1,CT,3,5.98
14088807,3,9,902,1071706777,19722,2012-03-03,5,OZ,2,6.98
14101174,4,63,6315,102113020,10786,2012-09-30,128,OZ,1,3.89
14278542,4,37,3709,107066272,12673,2012-03-04,18,OZ,2,3.38
14381137,4,36,3612,107114272,915,2012-03-03,320,OZ,2,6
14576147,18,63,6312,101405414,12973,2012-03-03,12,OZ,2,2
14632152,18,10,1004,104300040,26232,2012-03-08,5,OZ,2,2.78
14723452,18,51,5124,107100777,5656,2012-03-08,32,OZ,1,3.79
14790034,4,25,2506,102113020,10786,2012-06-11,32,OZ,1,2.99
14989775,15,57,5710,1089470080,21065,2012-03-03,5.3,OZ,2,3.58
15050385,15,63,6315,102113020,10786,2012-03-06,128,OZ,1,3.89
15073302,15,4,416,103400030,15449,2012-03-06,1.7,OZ,2,2.38
15134033,15,36,3618,101200010,23361,2012-03-08,144,OZ,3,10
15163210,15,36,3633,107084777,7912,2012-03-05,96,OZ,1,3.99
15417308,95,4,421,107097070,56002,2012-03-07,9.5,OZ,1,1.5
15530842,95,19,1908,105150050,9189,2012-03-04,18,OZ,3,8.97
15575309,17,37,3706,104119646,14582,2012-03-02,19,OZ,1,0.99
15705695,15,27,2702,107119070,23292,2012-03-02,6,LB,1,6.99
15708395,17,95,9517,10920090,33170,2012-03-02,1,CT,1,1.29
15738658,17,9,912,101410010,13791,2013-03-09,17,OZ,1,4.49
15753725,17,56,5610,102113020,4720,2012-03-08,6,OZ,1,4.99
15941277,14,99,9908,103710232,11930,2012-03-06,8,OZ,1,2.49
15994113,4,26,2632,107989373,11873,2012-03-02,432,CT,1,8.99
16075389,14,7,707,101114111,25747,2012-03-02,12,OZ,1,4.99
16078766,4,6,610,1081809484,15414,2012-03-03,16,OZ,1,1.67
16130307,4,63,6305,102113020,15704,2012-05-05,128,OZ,1,5.49
16138642,4,58,5812,105450050,1322,2012-03-12,16,OZ,1,4.49
16203579,15,9,917,107885878,57184,2012-03-02,11.57,OZ,3,5.67
16238376,14,59,5910,103377636,16650,2012-03-02,15,OZ,1,2.5
16412251,95,97,9745,101149111,33170,2012-03-04,1,CT,1,2.79
16535563,4,58,5812,104470040,13310,2012-03-14,15,OZ,1,5.99
